actor,character,season,cast_type,character_full
Zuzanna Szadkowski,Dorota,1,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,1,Recurring,Georgina Sparks
Margaret Colin,Eleanor,1,Recurring,Eleanor Waldorf-Rose
Connor Paolo,Eric,1,Recurring,Eric van der Woodsen
Amanda Setton,Penelope,1,Recurring,Penelope Shafai
Robert John Burke,Bart,1,Recurring,Bart Bass
Yin Chang,Nelly,1,Recurring,Nelly Yuki
Sam Robards,The Captain,1,Recurring,"Howard ""The Captain"" Archibald"
Sebastian Stan,Carter,1,Guest,Carter Baizen
Caroline Lagerfelt,CeCe,1,Guest,"Celia ""CeCe"" Rhodes"
Zuzanna Szadkowski,Dorota,2,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,2,Recurring,Georgina Sparks
Margaret Colin,Eleanor,2,Recurring,Eleanor Waldorf-Rose
Connor Paolo,Eric,2,Recurring,Eric van der Woodsen
Amanda Setton,Penelope,2,Recurring,Penelope Shafai
Robert John Burke,Bart,2,Recurring,Bart Bass
Yin Chang,Nelly,2,Recurring,Nelly Yuki
Sam Robards,The Captain,2,Guest,"Howard ""The Captain"" Archibald"
Sebastian Stan,Carter,2,Recurring,Carter Baizen
Caroline Lagerfelt,CeCe,2,Recurring,"Celia ""CeCe"" Rhodes"
Aaron Schwartz,Vanya,2,Recurring,Vanya
Desmond Harrington,Jack,2,Recurring,Jack Bass
Wallace Shawn,Cyrus,2,Recurring,Cyrus Rose
Sheila Kelley,Carol,2,Guest,Carol Rhodes
Chris Riggi,Scott,2,Guest,Scott Rosson
Zuzanna Szadkowski,Dorota,3,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,3,Recurring,Georgina Sparks
Margaret Colin,Eleanor,3,Recurring,Eleanor Waldorf-Rose
Connor Paolo,Eric,3,Recurring,Eric van der Woodsen
Robert John Burke,Bart,3,Guest,Bart Bass
Sebastian Stan,Carter,3,Recurring,Carter Baizen
Caroline Lagerfelt,CeCe,3,Recurring,"Celia ""CeCe"" Rhodes"
Aaron Schwartz,Vanya,3,Recurring,Vanya
Desmond Harrington,Jack,3,Recurring,Jack Bass
Wallace Shawn,Cyrus,3,Guest,Cyrus Rose
Chris Riggi,Scott,3,Recurring,Scott Rosson
Kevin Zegers,Damian,3,Recurring,Damian Daalgard
Hilary Duff,Olivia,3,Recurring,Olivia Burke
William Baldwin,William,3,Recurring,William van der Woodsen
Zuzanna Szadkowski,Dorota,4,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,4,Recurring,Georgina Sparks
Margaret Colin,Eleanor,4,Recurring,Eleanor Waldorf-Rose
Connor Paolo,Eric,4,Recurring,Eric van der Woodsen
Amanda Setton,Penelope,4,Recurring,Penelope Shafai
Sam Robards,The Captain,4,Recurring,"Howard ""The Captain"" Archibald"
Caroline Lagerfelt,CeCe,4,Guest,"Celia ""CeCe"" Rhodes"
Aaron Schwartz,Vanya,4,Recurring,Vanya
Desmond Harrington,Jack,4,Guest,Jack Bass
Wallace Shawn,Cyrus,4,Guest,Cyrus Rose
Sheila Kelley,Carol,4,Guest,Carol Rhodes
Kevin Zegers,Damian,4,Recurring,Damian Daalgard
William Baldwin,William,4,Guest,William van der Woodsen
Azhy Robertson,Milo,4,Recurring,Milo Sparks
Hugo Becker,Louis,4,Recurring,Louis Grimaldi
Katie Cassidy,Juliet,4,Recurring,Juliet Sharp
David Call,Ben,4,Recurring,Ben Donovan
Michael Boatman,Russell,4,Recurring,Russell Thorpe
Tika Sumpter,Raina,4,Recurring,Raina Thorpe
Zuzanna Szadkowski,Dorota,5,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,5,Recurring,Georgina Sparks
Margaret Colin,Eleanor,5,Recurring,Eleanor Waldorf-Rose
Amanda Setton,Penelope,5,Recurring,Penelope Shafai
Robert John Burke,Bart,5,Guest,Bart Bass
Caroline Lagerfelt,CeCe,5,Guest,"Celia ""CeCe"" Rhodes"
Desmond Harrington,Jack,5,Recurring,Jack Bass
Wallace Shawn,Cyrus,5,Guest,Cyrus Rose
Sheila Kelley,Carol,5,Recurring,Carol Rhodes
William Baldwin,William,5,Recurring,William van der Woodsen
Azhy Robertson,Milo,5,Recurring,Milo Sparks
Hugo Becker,Louis,5,Recurring,Louis Grimaldi
Elizabeth Hurley,Diana,5,Recurring,Diana Payne
Ella Rae Peck,Lola,5,Recurring,"Charlotte ""Lola"" Rhodes"
Zuzanna Szadkowski,Dorota,6,Recurring,Dorota Kishlovsky
Michelle Trachtenberg,Georgina,6,Recurring,Georgina Sparks
Margaret Colin,Eleanor,6,Guest,Eleanor Waldorf-Rose
Connor Paolo,Eric,6,Special Guest,Eric van der Woodsen
Robert John Burke,Bart,6,Recurring,Bart Bass
Yin Chang,Nelly,6,Recurring,Nelly Yuki
Sam Robards,The Captain,6,Guest,"Howard ""The Captain"" Archibald"
Desmond Harrington,Jack,6,Guest,Jack Bass
Wallace Shawn,Cyrus,6,Guest,Cyrus Rose
William Baldwin,William,6,Guest,William van der Woodsen
Katie Cassidy,Juliet,6,Special Guest,Juliet Sharp
Ella Rae Peck,Lola,6,Special Guest,"Charlotte ""Lola"" Rhodes"
Barry Watson,Steven,6,Recurring,Steven Spence
Sofia Black-D'Elia,Sage,6,Recurring,Sage Spence
