season,no_overall,episode,title,directed_by,written_by,original_release_date,us_viewers_millions
1,1,1,Pilot,Mark Piznarski,Teleplay by : Josh Schwartz & Stephanie Savage,2007-09-19,3.5
1,2,2,The Wild Brunch,Mark Piznarski,Josh Schwartz & Stephanie Savage,2007-09-26,2.48
1,3,3,Poison Ivy,J. Miller Tobin,Felicia D. Henderson,2007-10-03,2.75
1,4,4,Bad News Blair,Patrick Norris,Joshua Safran,2007-10-10,2.8
1,5,5,Dare Devil,Jamie Babbit,Lenn K. Rosenfeld,2007-10-17,2.41
1,6,6,The Handmaiden's Tale,Norman Buckley,Jessica Queller,2007-10-24,2.54
1,7,7,"Victor, Victrola",Tony Wharmby,K.J. Steinberg,2007-11-07,2.52
1,8,8,Seventeen Candles,Lee Shallat-Chemel,Story by : Felicia D. HendersonTeleplay by : Joshua Safran & Felicia D. Henderson,2007-11-14,2.95
1,9,9,Blair Waldorf Must Pie!,Mark Piznarski,Story by : Lenn K. RosenfeldTeleplay by : Jessica Queller & K.J. Steinberg,2007-11-28,2.93
1,10,10,"Hi, Society",Patrick Norris,Joshua Safran,2007-12-05,2.44
1,11,11,Roman Holiday,Michael Fields,Jessica Queller,2007-12-19,1.81
1,12,12,School Lies,Tony Wharmby,Lenn K. Rosenfeld,2008-01-02,2.19
1,13,13,A Thin Line Between Chuck and Nate,Norman Buckley,Felicia D. Henderson,2008-01-09,2.27
1,14,14,The Blair Bitch Project,J. Miller Tobin,K.J. Steinberg,2008-04-21,2.5
1,15,15,Desperately Seeking Serena,Michael Fields,Felicia D. Henderson,2008-04-28,2.53
1,16,16,All About My Brother,Janice Cooke,Paul Sciarrotta,2008-05-05,2.12
1,17,17,Woman on the Verge,Tony Wharmby,Joshua Safran,2008-05-12,2.71
1,18,18,Much 'I Do' About Nothing,Norman Buckley,Josh Schwartz & Stephanie Savage,2008-05-19,3
2,19,1,"Summer, Kind of Wonderful",J. Miller Tobin,Joshua Safran,2008-09-01,3.43
2,20,2,Never Been Marcused,Michael Fields,Stephanie Savage,2008-09-08,3.25
2,21,3,The Dark Night,Janice Cooke,John Stephens,2008-09-15,3.73
2,22,4,The Ex Files,Jim McKay,Robert Hull,2008-09-22,3.33
2,23,5,The Serena Also Rises,Patrick Norris,Jessica Queller,2008-09-29,3.4
2,24,6,New Haven Can Wait,Norman Buckley,Alexandra McNally & Joshua Safran,2008-10-13,3.31
2,25,7,Chuck in Real Life,Tony Wharmby,Lenn K. Rosenfeld,2008-10-20,3.03
2,26,8,Pret-a-Poor-J,Vondie Curtis-Hall,Amanda Lasher,2008-10-27,3.05
2,27,9,There Might Be Blood,Michael Fields,Etan Frankel & John Stephens,2008-11-03,3.16
2,28,10,Bonfire of the Vanity,David Von Ancken,Jessica Queller,2008-11-10,2.88
2,29,11,The Magnificent Archibalds,Jean de Segonzac,Joshua Safran,2008-11-17,2.89
2,30,12,It's a Wonderful Lie,Patrick Norris,Robert Hull,2008-12-01,3.11
2,31,13,"O Brother, Where Bart Thou?",Joe Lazarov,Stephanie Savage,2008-12-08,2.99
2,32,14,In the Realm of the Basses,Tony Wharmby,John Stephens,2009-01-05,2.96
2,33,15,Gone with the Will,Tricia Brock,Amanda Lasher,2009-01-12,2.85
2,34,16,You've Got Yale!,Janice Cooke,Joshua Safran,2009-01-19,2.22
2,35,17,Carrnal Knowledge,Elizabeth Allen,Alexandra McNally & Lenn K. Rosenfeld,2009-02-02,2.31
2,36,18,The Age of Dissonance,Norman Buckley,Jessica Queller,2009-03-16,2.33
2,37,19,The Grandfather,J. Miller Tobin,Robert Hull & Etan Frankel,2009-03-23,2.25
2,38,20,Remains of the J,Allison Liddi-Brown,Sarah Frank-Meltzer,2009-03-30,2.45
2,39,21,Seder Anything,John Stephens,Amanda Lasher,2009-04-20,2.37
2,40,22,Southern Gentlemen Prefer Blondes,Patrick Norris,Leila Gerstein,2009-04-27,1.97
2,41,23,The Wrath of Con,Janice Cooke,Sara Goodman,2009-05-04,2.22
2,42,24,Valley Girls,Mark Piznarski,Josh Schwartz & Stephanie Savage,2009-05-11,2.3
2,43,25,The Goodbye Gossip Girl,Norman Buckley,Joshua Safran,2009-05-18,2.23
3,44,1,Reversals of Fortune,J. Miller Tobin,Joshua Safran,2009-09-14,2.55
3,45,2,The Freshman,Norman Buckley,Amanda Lasher,2009-09-21,1.97
3,46,3,The Lost Boy,Jean de Segonzac,Robert Hull,2009-09-28,2.36
3,47,4,Dan de Fleurette,Mark Piznarski,John Stephens,2009-10-05,2.08
3,48,5,Rufus Getting Married,Ron Fortunato,Leila Gerstein,2009-10-12,2.36
3,49,6,Enough About Eve,John Stephens,Jake Coburn,2009-10-19,1.98
3,50,7,How to Succeed in Bassness,Joe Lazarov,Sara Goodman,2009-10-26,2.31
3,51,8,The Grandfather: Part II,Mark Piznarski,Lenn K. Rosenfeld,2009-11-02,1.98
3,52,9,"They Shoot Humphreys, Don't They?",Alison Maclean,Amanda Lasher,2009-11-09,2.37
3,53,10,The Last Days of Disco Stick,Tony Wharmby,Leila Gerstein,2009-11-16,2.24
3,54,11,The Treasure of Serena Madre,Mark Piznarski,Robert Hull & Joshua Safran,2009-11-30,2.23
3,55,12,The Debarted,Jason Ensler,Stephanie Savage,2009-12-07,2.21
3,56,13,The Hurt Locket,Tony Wharmby,Sara Goodman,2010-03-08,1.74
3,57,14,The Lady Vanished,Andrew McCarthy,Amanda Lasher & Robert Hull,2010-03-15,1.73
3,58,15,The Sixteen Year Old Virgin,Wendey Stanzler,Leila Gerstein,2010-03-22,1.9
3,59,16,The Empire Strikes Jack,Joe Lazarov,Jake Coburn,2010-03-29,1.69
3,60,17,Inglourious Bassterds,Jean de Segonzac,Lenn K. Rosenfeld,2010-04-05,1.74
3,61,18,The Unblairable Lightness of Being,Janice Cooke-Leonard,Jeanne Leitenberg,2010-04-12,1.86
3,62,19,Dr. Estrangeloved,Darnell Martin,Robert Hull,2010-04-26,2.05
3,63,20,"It’s a Dad, Dad, Dad World",Jeremiah Chechik,Amanda Lasher,2010-05-03,1.74
3,64,21,Ex-Husbands and Wives,Norman Buckley,Sara Goodman,2010-05-10,1.79
3,65,22,"Last Tango, Then Paris",J. Miller Tobin,Joshua Safran & Stephanie Savage,2010-05-17,1.96
4,66,1,Belles de Jour,Mark Piznarski,Joshua Safran & Stephanie Savage,2010-09-13,1.83
4,67,2,Double Identity,Mark Piznarski,Sara Goodman & Joshua Safran,2010-09-20,1.84
4,68,3,The Undergraduates,Norman Buckley,Amanda Lasher,2010-09-27,1.78
4,69,4,Touch of Eva,Andrew McCarthy,Leila Gerstein,2010-10-04,2
4,70,5,"Goodbye, Columbia",Jeremiah Chechik,Robert Hull,2010-10-11,1.78
4,71,6,Easy J,Lee Shallat-Chemel,Jake Coburn,2010-10-25,1.88
4,72,7,War at the Roses,Joe Lazarov,Jessica Queller,2010-11-01,1.82
4,73,8,Juliet Doesn't Live Here Anymore,Patrick Norris,Jeanne Leitenberg,2010-11-08,1.78
4,74,9,The Witches of Bushwick,Ron Fortunato,Sara Goodman,2010-11-15,1.69
4,75,10,Gaslit,Tate Donovan,Robert Hull & Joshua Safran,2010-11-29,1.96
4,76,11,The Townie,Joe Lazarov,Amanda Lasher & Stephanie Savage,2010-12-06,2.06
4,77,12,The Kids Are Not All Right,Allan Kroeker,KJ Steinberg,2011-01-24,1.58
4,78,13,Damien Darko,Jeremiah Chechik,Leila Gerstein,2011-01-31,1.51
4,79,14,Panic Roommate,Andrew McCarthy,Jake Coburn,2011-02-07,1.62
4,80,15,It-Girl Happened One Night,Bart Wenrich,Alex McNally,2011-02-14,1.32
4,81,16,While You Weren't Sleeping,Norman Buckley,Sara Goodman,2011-02-21,1.57
4,82,17,Empire of the Son,David Warren,Robert Hull,2011-02-28,1.39
4,83,18,The Kids Stay in the Picture,J. Miller Tobin,Jessica Queller,2011-04-18,1.43
4,84,19,Petty in Pink,Liz Friedlander,Amanda Lasher,2011-04-25,1.55
4,85,20,The Princesses and the Frog,Andrew McCarthy,Leila Gerstein,2011-05-02,1.27
4,86,21,Shattered Bass,Allison Liddi-Brown,Sara Goodman,2011-05-09,1.2
4,87,22,The Wrong Goodbye,Patrick Norris,Joshua Safran,2011-05-16,1.36
5,88,1,"Yes, Then Zero",Mark Piznarski,Joshua Safran,2011-09-26,1.37
5,89,2,Beauty and the Feast,Mark Piznarski,Sara Goodman,2011-10-03,1.34
5,90,3,The Jewel of Denial,Larry Shaw,Amanda Lasher,2011-10-10,1.27
5,91,4,Memoirs of an Invisible Dan,Tate Donovan,Amy B. Harris,2011-10-17,1.16
5,92,5,The Fasting and the Furious,Joe Lazarov,Peter Elkoff,2011-10-24,1.36
5,93,6,I Am Number Nine,Andy Wolk,Jake Coburn,2011-11-07,1.26
5,94,7,The Big Sleep No More,Vince Misiano,Dan Steele,2011-11-14,1.24
5,95,8,All the Pretty Sources,Cherie Nowlan,Austin Winsberg,2011-11-21,1.35
5,96,9,Rhodes to Perdition,Andrew McCarthy,Natalie Krinsky,2011-11-28,1.32
5,97,10,Riding in Town Cars with Boys,Vince Misiano,Amanda Lasher,2011-12-05,1.28
5,98,11,The End of the Affair?,Michael Grossman,Sara Goodman,2012-01-16,1.29
5,99,12,Father and the Bride,Amy Heckerling,Peter Elkoff,2012-01-23,1.11
5,100,13,G.G.,Mark Piznarski,Joshua Safran,2012-01-30,1.39
5,101,14,The Backup Dan,David Warren,Matt Whitney,2012-02-06,1.25
5,102,15,"Crazy, Cupid, Love",Matt Penn,Austin Winsberg,2012-02-13,1.13
5,103,16,Cross Rhodes,John Terlesky,Amy B. Harris,2012-02-20,1
5,104,17,The Princess Dowry,Andrew McCarthy,Jake Coburn,2012-02-27,1.11
5,105,18,Con Heir,Joe Lazarov,Annemarie Navar-Gill,2012-04-02,0.97
5,106,19,"It Girl, Interrupted",Omar Madha,Amanda Lasher,2012-04-09,0.98
5,107,20,Salon of the Dead,Norman Buckley,Natalie Krinsky,2012-04-16,1.06
5,108,21,Despicable B,David Warren,Austin Winsberg,2012-04-23,0.99
5,109,22,Raiders of the Lost Art,Bart Wenrich,Jake Coburn,2012-04-30,1.02
5,110,23,The Fugitives,Andy Wolk,Matt Whitney,2012-05-07,0.83
5,111,24,The Return of the Ring,J. Miller Tobin,Sara Goodman,2012-05-14,1.14
6,112,1,Gone Maybe Gone,Mark Piznarski,Josh Schwartz & Stephanie Savage,2012-10-08,0.78
6,113,2,High Infidelity,Joe Lazarov,Annemarie Navar-Gill,2012-10-15,0.78
6,114,3,Dirty Rotten Scandals,Bart Wenrich,Natalie Krinsky,2012-10-22,0.95
6,115,4,Portrait of a Lady Alexander,Andy Wolk,Matt Whitney,2012-11-05,0.66
6,116,5,Monstrous Ball,Amy Heckerling,Sara Goodman,2012-11-12,0.73
6,117,6,Where the Vile Things Are,Norman Buckley,Dan Steele,2012-11-19,0.72
6,118,7,Save the Last Chance,Anna Mastro,Jessica Queller,2012-11-26,0.84
6,119,8,It's Really Complicated,John Stephens,Jake Coburn,2012-12-03,0.79
6,120,9,The Revengers,Patrick Norris,Sara Goodman & Natalie Krinsky,2012-12-10,1.06
6,121,10,"New York, I Love You XOXO",Mark Piznarski,Stephanie Savage,2012-12-17,1.55
