main_character,character,line_no,line_type,word,main_character_word
TRUE,Gossip Girl,2,voice over,hey,FALSE
TRUE,Gossip Girl,2,voice over,upper,FALSE
TRUE,Gossip Girl,2,voice over,east,FALSE
TRUE,Gossip Girl,2,voice over,siders,FALSE
TRUE,Gossip Girl,2,voice over,gossip girl,TRUE
TRUE,Gossip Girl,2,voice over,biggest,FALSE
TRUE,Gossip Girl,2,voice over,news,FALSE
TRUE,Gossip Girl,2,voice over,sources,FALSE
TRUE,Gossip Girl,2,voice over,melanie91,FALSE
TRUE,Gossip Girl,2,voice over,sends,FALSE
TRUE,Gossip Girl,2,voice over,spotted,FALSE
TRUE,Gossip Girl,2,voice over,grand,FALSE
TRUE,Gossip Girl,2,voice over,central,FALSE
TRUE,Gossip Girl,2,voice over,bags,FALSE
TRUE,Gossip Girl,2,voice over,hand,FALSE
TRUE,Gossip Girl,2,voice over,serena,TRUE
TRUE,Gossip Girl,2,voice over,van,FALSE
TRUE,Gossip Girl,2,voice over,der,FALSE
TRUE,Gossip Girl,2,voice over,woodsen,FALSE
TRUE,Gossip Girl,2,voice over,ago,FALSE
TRUE,Gossip Girl,2,voice over,girl,FALSE
TRUE,Gossip Girl,2,voice over,mysteriously,FALSE
TRUE,Gossip Girl,2,voice over,disappeared,FALSE
TRUE,Gossip Girl,2,voice over,quote,FALSE
TRUE,Gossip Girl,2,voice over,boarding,FALSE
TRUE,Gossip Girl,2,voice over,school,FALSE
TRUE,Gossip Girl,2,voice over,suddenly,FALSE
TRUE,Gossip Girl,2,voice over,lucky,FALSE
TRUE,Gossip Girl,2,voice over,melanie91,FALSE
TRUE,Gossip Girl,2,voice over,proof,FALSE
TRUE,Gossip Girl,2,voice over,photo,FALSE
TRUE,Gossip Girl,2,voice over,mel,FALSE
TRUE,Rufus,4,lines,dan,TRUE
TRUE,Rufus,4,lines,jenny,TRUE
TRUE,Jenny,5,lines,hey,FALSE
TRUE,Jenny,5,lines,dad,FALSE
TRUE,Rufus,6,lines,hey,FALSE
TRUE,Rufus,6,lines,hey,FALSE
TRUE,Rufus,6,lines,weekend,FALSE
TRUE,Rufus,6,lines,mom,FALSE
TRUE,Dan,7,lines,fine,FALSE
TRUE,Jenny,8,lines,fine,FALSE
TRUE,Jenny,8,lines,guess,FALSE
TRUE,Dan,9,lines,fine,FALSE
TRUE,Rufus,10,lines,left,FALSE
TRUE,Rufus,10,lines,manhatten,FALSE
TRUE,Rufus,10,lines,fine,FALSE
TRUE,Rufus,10,lines,taking,FALSE
TRUE,Rufus,10,lines,time,FALSE
TRUE,Rufus,10,lines,marriage,FALSE
TRUE,Rufus,10,lines,idea,FALSE
TRUE,Rufus,10,lines,fine,FALSE
TRUE,Dan,11,lines,dad,FALSE
TRUE,Dan,11,lines,starving,FALSE
TRUE,Rufus,12,lines,home,FALSE
TRUE,Rufus,12,lines,cooking,FALSE
TRUE,Rufus,12,lines,caprese,FALSE
TRUE,Rufus,12,lines,salad,FALSE
TRUE,Rufus,12,lines,mozzarella,FALSE
TRUE,Rufus,12,lines,di,FALSE
TRUE,Rufus,12,lines,bufala,FALSE
TRUE,Rufus,12,lines,yeah,FALSE
TRUE,Rufus,12,lines,gonna,FALSE
TRUE,Rufus,12,lines,guys,FALSE
TRUE,Gossip Girl,14,voice over,spotted,FALSE
TRUE,Gossip Girl,14,voice over,lonely,FALSE
TRUE,Gossip Girl,14,voice over,boy,FALSE
TRUE,Gossip Girl,14,voice over,love,FALSE
TRUE,Gossip Girl,14,voice over,life,FALSE
TRUE,Gossip Girl,14,voice over,returned,FALSE
TRUE,Gossip Girl,14,voice over,serena,TRUE
TRUE,Gossip Girl,14,voice over,talking,FALSE
TRUE,Gossip Girl,16,voice over,blair,TRUE
TRUE,Gossip Girl,16,voice over,waldorf,FALSE
TRUE,Gossip Girl,16,voice over,bffs,FALSE
TRUE,Gossip Girl,16,voice over,blair,TRUE
TRUE,Gossip Girl,16,voice over,boyfriend,FALSE
TRUE,Gossip Girl,16,voice over,nate,TRUE
TRUE,Gossip Girl,16,voice over,serena,TRUE
FALSE,Eleanor,18,lines,design,FALSE
FALSE,Eleanor,18,lines,dress,FALSE
FALSE,Eleanor,18,lines,woman,FALSE
FALSE,Eleanor,20,lines,blair,TRUE
FALSE,Eleanor,20,lines,gonna,FALSE
FALSE,Eleanor,20,lines,wear,FALSE
FALSE,Eleanor,20,lines,designs,FALSE
FALSE,Eleanor,20,lines,properly,FALSE
FALSE,Eleanor,20,lines,fitted,FALSE
TRUE,Blair,22,lines,mom,FALSE
TRUE,Blair,22,lines,mind,FALSE
TRUE,Blair,22,lines,party,FALSE
FALSE,Eleanor,24,lines,advertisement,FALSE
FALSE,Party Guest,26,lines,nate,TRUE
FALSE,Party Guest,26,lines,started,FALSE
FALSE,Party Guest,26,lines,thinking,FALSE
FALSE,Party Guest,26,lines,college,FALSE
FALSE,Howie,27,lines,dartmouth,FALSE
TRUE,Nate,28,lines,dad,FALSE
TRUE,Nate,28,lines,spoken,FALSE
TRUE,Nate,28,lines,highly,FALSE
TRUE,Nate,28,lines,dartmouth,FALSE
TRUE,Nate,28,lines,check,FALSE
TRUE,Nate,28,lines,west,FALSE
TRUE,Nate,28,lines,usc,FALSE
TRUE,Nate,28,lines,ucla,FALSE
FALSE,Howie,29,lines,mother,FALSE
FALSE,Howie,29,lines,hear,FALSE
FALSE,Howie,29,lines,dartmouth,FALSE
TRUE,Nate,30,lines,dartmouth,FALSE
TRUE,Nate,30,lines,choice,FALSE
TRUE,Blair,32,lines,excuse,FALSE
TRUE,Blair,32,lines,captain,FALSE
TRUE,Blair,32,lines,nate,TRUE
TRUE,Blair,32,lines,borrow,FALSE
